Index, Size, ZScore
1202, 22083, 1.77
1203, 19302, 0.98
1204, 18849, 0.82
1205, 19248, 0.87
1206, 19781, 0.95
1207, 16970, 0.25
1208, 22087, 1.40
1209, 22383, 1.38
1210, 22329, 1.27
1211, 16628, -0.12
1212, 16667, -0.16
1213, 15691, -0.46
1214, 21880, 1.09
1215, 21661, 1.00
1216, 16964, -0.25
1217, 19395, 0.37
1218, 17289, -0.23
1219, 14287, -1.15
1220, 16951, -0.55
1221, 17160, -0.45
1222, 16814, -0.82
1223, 28490, 3.97
1224, 17323, -0.58
1225, 15676, -1.14
1226, 20465, 0.47
1227, 14457, -1.67
1228, 17446, -0.55
1229, 21991, 0.97
1230, 37626, 6.01
1231, 17614, -0.46
1232, 19123, -0.09
1233, 18303, -0.25
1234, 17300, -0.47
1235, 18927, -0.09
1236, 21975, 0.59
1237, 21658, 0.50
1238, 18854, -0.16
1239, 18975, -0.10
1240, 18769, -0.13
1241, 19286, 0.02
1242, 21300, 0.46
1243, 22023, 0.59
1244, 18264, -0.32
1245, 18819, -0.17
1246, 18920, -0.12
1247, 19046, -0.11
1248, 30730, 2.62
1249, 19747, -0.04
1250, 18851, -0.28
1251, 19168, -0.23
1252, 17159, -0.69
1253, 30941, 2.36
1254, 18662, -0.36
1255, 19225, -0.25
1256, 18626, -0.41
1257, 22010, 0.34
1258, 21922, 0.27
1259, 18872, -0.45
1260, 18419, -0.53
1261, 19050, -0.34
1262, 16465, -1.18
1263, 16628, -1.07
1264, 8470, -3.55
1265, 8906, -2.82
1266, 14456, -1.15
