Index, Size, ZScore
839, 22920, 1.19
840, 17070, -0.25
841, 22312, 1.04
842, 5441, -3.43
843, 12821, -1.17
844, 6038, -2.59
845, 13754, -0.86
846, 23536, 1.27
847, 22097, 0.90
848, 22193, 0.87
849, 13537, -0.91
850, 6163, -2.36
851, 14786, -0.50
852, 17171, -0.03
853, 21796, 0.85
854, 21768, 0.80
855, 19840, 0.42
856, 12298, -1.05
857, 20733, 0.58
858, 21645, 0.75
859, 20592, 0.55
860, 21994, 0.77
861, 22350, 0.85
862, 8595, -1.70
863, 21758, 0.79
864, 22196, 0.84
865, 17528, -0.00
866, 22306, 0.84
867, 10180, -1.30
868, 17333, 0.03
869, 11838, -1.00
870, 22659, 1.00
871, 15974, -0.22
872, 8976, -1.44
873, 8053, -1.68
874, 7818, -1.64
875, 23644, 1.20
876, 10057, -1.31
877, 32809, 2.84
878, 4710, -2.02
879, 17513, 0.12
880, 18827, 0.31
881, 22222, 0.80
882, 16400, -0.18
883, 17764, 0.05
884, 18339, 0.16
885, 16465, -0.12
886, 20830, 0.60
887, 20337, 0.48
888, 20042, 0.43
889, 17718, 0.06
890, 22743, 0.91
891, 22260, 0.82
892, 21549, 0.71
893, 20818, 0.53
894, 22130, 0.76
895, 21066, 0.58
896, 22219, 0.75
897, 22123, 0.74
898, 22208, 0.70
899, 21333, 0.51
900, 21869, 0.56
901, 20379, 0.31
902, 19939, 0.20
903, 21471, 0.43
904, 10569, -1.81
905, 14266, -1.13
906, 14422, -1.02
907, 17532, -0.43
908, 15778, -0.83
909, 10231, -3.10
910, 7292, -3.52
911, 7198, -2.91
912, 13841, -0.99
913, 12055, -1.36
914, 14331, -0.79
915, 11167, -1.43
916, 10624, -1.46
917, 16615, -0.14
918, 15373, -0.37
919, 13313, -0.76
920, 11043, -1.19
921, 10796, -1.16
922, 11856, -0.87
923, 14458, -0.28
924, 11726, -0.81
925, 16393, 0.25
926, 9951, -1.13
927, 14636, -0.01
928, 9005, -1.29
929, 19939, 1.47
930, 22530, 2.17
